product_id,seller_id,category_id,country_id,condition_id,product_name,product_price,shipping_fee,page_number,category_id,category,condition_id,product_condition,seller_id,seller_name,seller_feedback_score,country_id,origin_country
52,52,1,14,8,Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked)Â,4373.15,193.85,1,1,Cell Phones & Accessories,8,Used,52,drgad,267,14,United Kingdom
53,53,1,15,1,Apple iPhone 12 Pro Max - 256GB - Pazifikblau (Ohne Simlock),1558.99,23.5,1,1,Cell Phones & Accessories,1,New,53,zbochris_0,0,15,Philippines
54,54,1,1,8,Apple iPhone 12 - 64GB - Blue (Unlocked),2481.37,144.22,1,1,Cell Phones & Accessories,8,Used,54,williamjhawk,1695,1,United States
55,55,1,1,8,Apple iPhone 12 - 64GB - Green (Blacklisted),1165.75,66.61,1,1,Cell Phones & Accessories,8,Used,55,ciervalri-6,63,1,United States
56,56,1,56,1,Apple iPhone 12 Pro Max - 128 Go - Bleu Pacifique (Déverrouillé)*Neuf*,2428.58,74.42,1,1,Cell Phones & Accessories,1,New,56,tearldure0,0,56,France
57,57,1,56,1,Apple iPhone 12 Pro Max - 128 Go - Graphite (Déverrouillé)&Neuf&,2581.35,74.42,1,1,Cell Phones & Accessories,1,New,57,nicolcart-79,0,56,France
58,45,1,14,8,Apple iPhone 12 Pro Max - 512GB - Gold (Unlocked),2393.75,162.22,1,1,Cell Phones & Accessories,8,Used,45,mark70blue,1255,14,United Kingdom
59,59,1,14,8,Apple iPhone 12 Pro Max - 256GB - Graphite (EE),3912.86,166.37,1,1,Cell Phones & Accessories,8,Used,59,fitzsmilie,342,14,United Kingdom
60,60,1,1,8,Apple iPhone 12 - 64GB - Black (Unlocked) Excellent Condition,2497.86,121.14,1,1,Cell Phones & Accessories,8,Used,60,wikiwoo,29594,1,United States
61,61,1,1,8,*Excellent* Apple iPhone 12 - Unlocked - 128GB - Black,2727.85,125.53,1,1,Cell Phones & Accessories,8,Used,61,gadgetgone,17171,1,United States
62,62,1,14,8,Apple iPhone 12 Pro Max - 512GB Gold (Unlocked) Apple Warranty until:15 Nov 2021,2633.12,184.78,1,1,Cell Phones & Accessories,8,Used,62,anjal_josep,364,14,United Kingdom
63,63,1,63,1,Original apple iPhone 12 Mini 5G 5.4 inch Super Retina Display A14 Bionic IOS14,1831.85,0.0,1,1,Cell Phones & Accessories,1,New,63,shsha_4473,6,63,China
64,64,1,1,2,Apple iPhone 12 mini - 64GB - Blue Black Green Red (Unlocked),2098.31,113.51,1,1,Cell Phones & Accessories,2,Seller refurbished,64,techlordz,1262,1,United States
65,65,1,1,8,Apple iPhone 12 - 64GB - Blue (T-Mobile),2131.65,33.31,1,1,Cell Phones & Accessories,8,Used,65,marfigu-14,6,1,United States
66,29,1,1,8,Apple iPhone 12 mini A2176 128GB White! Perfect condition! Factory Unlocked!,2284.99,117.07,1,1,Cell Phones & Accessories,8,Used,29,daotech,8200,1,United States
67,67,1,1,1,Apple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked),2697.87,127.23,1,1,Cell Phones & Accessories,1,New,67,jont-8190,0,1,United States
68,2,1,1,2,Apple iPhone 12 Mini Smartphone 64 128 256GB Cricket Metro TracFone Xfinity LTE,1828.56,108.38,1,1,Cell Phones & Accessories,2,Seller refurbished,2,supplytronics,69441,1,United States
